Security,Holder,Weight
A UN Equity,Cantillon Capital Management LLC,0.0314
A UN Equity,Bluespruce Investments LP,0.0489
A UN Equity,Echo Street Capital Management LLC,0.0213
A UN Equity,Two Sigma Investments LP,0.0000
A UN Equity,DE Shaw & Co LP,0.0000
A UN Equity,MARSHALL WACE,0.0000
A UN Equity,Squarepoint Ops LLC,0.0045
A UN Equity,Citadel Advisors LLC,0.0006
A UN Equity,Frontier Capital Management Co LLC,0.0046
A UN Equity,Arrowstreet Capital LP,0.0005
A UN Equity,Renaissance Technologies LLC,0.0006
A UN Equity,TwinBeech Capital LP,0.0078
A UN Equity,Select Equity Group LP,0.0014
A UN Equity,Millennium Management LLC/NY,0.0004
A UN Equity,Balyasny Asset Management LP,0.0008
A UN Equity,AQR Capital Management LLC,0.0006
A UN Equity,Osterweis Capital Management Inc,0.0137
A UN Equity,Adage Capital Management LP,0.0000
A UN Equity,Corient Private Wealth LLC,0.0005
A UN Equity,Cinctive Capital Management LP,0.0053
AAL UW Equity,Two Sigma Investments LP,0.0000
AAL UW Equity,Renaissance Technologies LLC,0.0044
AAL UW Equity,DE Shaw & Co LP,0.0000
AAL UW Equity,Balyasny Asset Management LP,0.0053
AAL UW Equity,Millennium Management LLC/NY,0.0006
AAL UW Equity,PAR Capital Management Inc,0.0175
AAL UW Equity,Point72 Asset Management LP,0.0000
AAL UW Equity,Cubist Systematic Strategies LLC,0.0026
AAL UW Equity,AQR Capital Management LLC,0.0005
AAL UW Equity,Squarepoint Ops LLC,0.0012
AAL UW Equity,MARSHALL WACE,0.0000
AAL UW Equity,ExodusPoint Capital Management LP,0.0020
AAL UW Equity,Citadel Advisors LLC,0.0002
AAL UW Equity,Adage Capital Management LP,0.0000
AAL UW Equity,Gotham Asset Management LLC,0.0025
AAL UW Equity,Holocene Advisors LP,0.0004
AAL UW Equity,Portman Square Capital LLP,0.0172
AAL UW Equity,Twin Tree Management LP,0.0015
AAL UW Equity,J Goldman & Co LP,0.0042
AAL UW Equity,Soros Fund Management LLC,0.0016
AAPL UW Equity,Arrowstreet Capital LP,0.0515
AAPL UW Equity,Adage Capital Management LP,0.0000
AAPL UW Equity,Corient Private Wealth LLC,0.0519
AAPL UW Equity,Winslow Capital Management LLC,0.0794
AAPL UW Equity,AQR Capital Management LLC,0.0366
AAPL UW Equity,DE Shaw & Co LP,0.0000
AAPL UW Equity,Two Sigma Investments LP,0.0000
AAPL UW Equity,MARSHALL WACE,0.0000
AAPL UW Equity,Renaissance Technologies LLC,0.0137
AAPL UW Equity,Williams Jones Wealth Management L,0.0642
AAPL UW Equity,Millennium Management LLC/NY,0.0037
AAPL UW Equity,Squarepoint Ops LLC,0.0186
AAPL UW Equity,RJA Asset Management LLC,0.8902
AAPL UW Equity,Hudson Bay Capital Management LP,0.0336
AAPL UW Equity,IEQ Capital LLC,0.0596
AAPL UW Equity,Kovitz Investment Group Partners L,0.0317
AAPL UW Equity,Stonegate Investment Group LLC,0.0716
AAPL UW Equity,Echo Street Capital Management LLC,0.0173
AAPL UW Equity,Tocqueville Asset Management LP,0.0349
AAPL UW Equity,Citadel Advisors LLC,0.0018
ABBV UN Equity,Two Sigma Investments LP,0.0000
ABBV UN Equity,Corient Private Wealth LLC,0.0062
ABBV UN Equity,Citadel Advisors LLC,0.0029
ABBV UN Equity,DE Shaw & Co LP,0.0000
ABBV UN Equity,Adage Capital Management LP,0.0000
ABBV UN Equity,Renaissance Technologies LLC,0.0025
ABBV UN Equity,AQR Capital Management LLC,0.0033
ABBV UN Equity,Millennium Management LLC/NY,0.0015
ABBV UN Equity,MARSHALL WACE,0.0000
ABBV UN Equity,Point72 Asset Management LP,0.0000
ABBV UN Equity,Balyasny Asset Management LP,0.0026
ABBV UN Equity,Bridgewater Associates LP,0.0052
ABBV UN Equity,Avidity Partners Management LP,0.0239
ABBV UN Equity,PFM Health Sciences LP,0.0269
ABBV UN Equity,Squarepoint Ops LLC,0.0034
ABBV UN Equity,Iron Triangle Partners LP,0.0814
ABBV UN Equity,Woodline Partners LP,0.0066
ABBV UN Equity,Berkshire Asset Management LLC,0.0309
ABBV UN Equity,Stonegate Investment Group LLC,0.0183
ABBV UN Equity,Capital Fund Management SA,0.0069
ABNB UW Equity,Renaissance Technologies LLC,0.0098
ABNB UW Equity,Two Sigma Investments LP,0.0000
ABNB UW Equity,Silver Lake Group LLC,0.0000
ABNB UW Equity,Two Creeks Capital Management LP,0.0551
ABNB UW Equity,Balyasny Asset Management LP,0.0021
ABNB UW Equity,DE Shaw & Co LP,0.0000
ABNB UW Equity,Millennium Management LLC/NY,0.0006
ABNB UW Equity,PAR Capital Management Inc,0.0134
ABNB UW Equity,Citadel Advisors LLC,0.0004
ABNB UW Equity,Bridgewater Associates LP,0.0021
ABNB UW Equity,Parallax Volatility Advisers LP,0.0123
ABNB UW Equity,Tudor Investment Corp,0.0052
ABNB UW Equity,NZS Capital LLC,0.0113
ABNB UW Equity,Squarepoint Ops LLC,0.0012
ABNB UW Equity,Twin Tree Management LP,0.0033
ABNB UW Equity,Mark Asset Management LP,0.0213
ABNB UW Equity,AQR Capital Management LLC,0.0002
ABNB UW Equity,IEQ Capital LLC,0.0022
ABNB UW Equity,Archon Partners LLC,0.0146
ABNB UW Equity,Corient Private Wealth LLC,0.0002
ABT UN Equity,Arrowstreet Capital LP,0.0046
ABT UN Equity,Corient Private Wealth LLC,0.0056
ABT UN Equity,Bridgewater Associates LP,0.0122
ABT UN Equity,Adage Capital Management LP,0.0000
ABT UN Equity,AQR Capital Management LLC,0.0027
ABT UN Equity,Magnetar Financial LLC,0.0225
ABT UN Equity,Renaissance Technologies LLC,0.0015
ABT UN Equity,Millennium Management LLC/NY,0.0008
ABT UN Equity,Locust Wood Capital Advisers LLC,0.0366
ABT UN Equity,Capital Fund Management SA,0.0086
ABT UN Equity,DE Shaw & Co LP,0.0000
ABT UN Equity,Tocqueville Asset Management LP,0.0073
ABT UN Equity,TwinBeech Capital LP,0.0072
ABT UN Equity,Squarepoint Ops LLC,0.0018
ABT UN Equity,Berkshire Asset Management LLC,0.0186
ABT UN Equity,Williams Jones Wealth Management L,0.0041
ABT UN Equity,Rhenman & Partners Asset Managemen,0.0283
ABT UN Equity,MARSHALL WACE,0.0000
ABT UN Equity,Element Capital Management LLC,0.0174
ABT UN Equity,Citadel Advisors LLC,0.0002
ACGL UW Equity,FPR Partners LLC,0.1333
ACGL UW Equity,Davis Asset Management LP,0.0886
ACGL UW Equity,Millennium Management LLC/NY,0.0007
ACGL UW Equity,Two Sigma Investments LP,0.0000
ACGL UW Equity,AQR Capital Management LLC,0.0007
ACGL UW Equity,TwinBeech Capital LP,0.0058
ACGL UW Equity,Zweig-Dimenna Associates LLC,0.0366
ACGL UW Equity,Adage Capital Management LP,0.0000
ACGL UW Equity,DE Shaw & Co LP,0.0000
ACGL UW Equity,Robertson Opportunity Capital LLC,0.0955
ACGL UW Equity,CTF Capital Management LP,0.0866
ACGL UW Equity,Williams Jones Wealth Management L,0.0018
ACGL UW Equity,Cubist Systematic Strategies LLC,0.0012
ACGL UW Equity,Arrowstreet Capital LP,0.0001
ACGL UW Equity,Summit Global Investments LLC,0.0063
ACGL UW Equity,ExodusPoint Capital Management LP,0.0009
ACGL UW Equity,Alyeska Investment Group LP,0.0006
ACGL UW Equity,New Vernon Investment Management L,0.1414
ACGL UW Equity,Capital Fund Management SA,0.0010
ACGL UW Equity,Steinberg Asset Management LLC,0.0602
ACN UN Equity,Corient Private Wealth LLC,0.0072
ACN UN Equity,Adage Capital Management LP,0.0000
ACN UN Equity,Williams Jones Wealth Management L,0.0285
ACN UN Equity,AQR Capital Management LLC,0.0018
ACN UN Equity,Millennium Management LLC/NY,0.0005
ACN UN Equity,DE Shaw & Co LP,0.0000
ACN UN Equity,Soros Fund Management LLC,0.0055
ACN UN Equity,Suvretta Capital Management LLC,0.0115
ACN UN Equity,Samlyn Capital LLC,0.0035
ACN UN Equity,Azimut Holding SpA,0.0000
ACN UN Equity,NewEdge Wealth LLC,0.0058
ACN UN Equity,Alley Investment Management Co LLC,0.0240
ACN UN Equity,Citadel Advisors LLC,0.0002
ACN UN Equity,IEQ Capital LLC,0.0026
ACN UN Equity,Douglas Lane & Associates LLC,0.0019
ACN UN Equity,Grey Street Capital LLC,0.0598
ACN UN Equity,Azimuth Capital Investment Managem,0.0047
ACN UN Equity,Ergoteles LLC,0.0047
ACN UN Equity,Kovitz Investment Group Partners L,0.0014
ACN UN Equity,TwinBeech Capital LP,0.0019
ADBE UW Equity,Citadel Advisors LLC,0.0074
ADBE UW Equity,Bluespruce Investments LP,0.0994
ADBE UW Equity,Arrowstreet Capital LP,0.0063
ADBE UW Equity,Akre Capital Management LLC,0.0434
ADBE UW Equity,Coatue Management LLC,0.0239
ADBE UW Equity,Millennium Management LLC/NY,0.0045
ADBE UW Equity,Point72 Asset Management LP,0.0000
ADBE UW Equity,AQR Capital Management LLC,0.0070
ADBE UW Equity,Adage Capital Management LP,0.0000
ADBE UW Equity,Contour Asset Management LLC,0.0878
ADBE UW Equity,Cantillon Capital Management LLC,0.0134
ADBE UW Equity,MARSHALL WACE,0.0000
ADBE UW Equity,Holocene Advisors LP,0.0076
ADBE UW Equity,Corient Private Wealth LLC,0.0038
ADBE UW Equity,Squarepoint Ops LLC,0.0088
ADBE UW Equity,Heard Capital LLC,0.1038
ADBE UW Equity,Steadfast Capital Management LP,0.0311
ADBE UW Equity,DE Shaw & Co LP,0.0000
ADBE UW Equity,Two Creeks Capital Management LP,0.0563
ADBE UW Equity,Select Equity Group LP,0.0034
ADI UW Equity,Cantillon Capital Management LLC,0.0447
ADI UW Equity,Alkeon Capital Management LLC,0.0311
ADI UW Equity,Farallon Capital Management LLC,0.0282
ADI UW Equity,Winslow Capital Management LLC,0.0160
ADI UW Equity,Millennium Management LLC/NY,0.0027
ADI UW Equity,Egerton Capital UK LLP,0.0242
ADI UW Equity,Adage Capital Management LP,0.0000
ADI UW Equity,AQR Capital Management LLC,0.0032
ADI UW Equity,Kovitz Investment Group Partners L,0.0216
ADI UW Equity,Meritage Group LP,0.0345
ADI UW Equity,Point72 Asset Management LP,0.0000
ADI UW Equity,Lansdowne Partners UK LLP,0.0911
ADI UW Equity,Corient Private Wealth LLC,0.0018
ADI UW Equity,PineStone Asset Management Inc,0.0056
ADI UW Equity,Oribel Capital Management LP,0.0394
ADI UW Equity,Osterweis Capital Management Inc,0.0242
ADI UW Equity,Harvey Partners LLC,0.0361
ADI UW Equity,Alyeska Investment Group LP,0.0019
ADI UW Equity,Sirios Capital Management LP,0.0411
ADI UW Equity,ExodusPoint Capital Management LP,0.0024
ADM UN Equity,AQR Capital Management LLC,0.0035
ADM UN Equity,Citadel Advisors LLC,0.0009
ADM UN Equity,Balyasny Asset Management LP,0.0018
ADM UN Equity,DE Shaw & Co LP,0.0000
ADM UN Equity,Adage Capital Management LP,0.0000
ADM UN Equity,Williams Jones Wealth Management L,0.0036
ADM UN Equity,Two Sigma Investments LP,0.0000
ADM UN Equity,Azimut Holding SpA,0.0000
ADM UN Equity,Summit Global Investments LLC,0.0111
ADM UN Equity,Corient Private Wealth LLC,0.0003
ADM UN Equity,Millennium Management LLC/NY,0.0001
ADM UN Equity,Gotham Asset Management LLC,0.0020
ADM UN Equity,Kovitz Investment Group Partners L,0.0014
ADM UN Equity,Bridgewater Associates LP,0.0006
ADM UN Equity,Renaissance Technologies LLC,0.0001
ADM UN Equity,Element Capital Management LLC,0.0036
ADM UN Equity,GlobeFlex Capital LP,0.0057
ADM UN Equity,Tudor Investment Corp,0.0008
ADM UN Equity,Squarepoint Ops LLC,0.0003
ADM UN Equity,Holocene Advisors LP,0.0002
ADP UW Equity,Two Sigma Investments LP,0.0000
ADP UW Equity,DE Shaw & Co LP,0.0000
ADP UW Equity,Arrowstreet Capital LP,0.0051
ADP UW Equity,Millennium Management LLC/NY,0.0033
ADP UW Equity,Renaissance Technologies LLC,0.0028
ADP UW Equity,Holocene Advisors LP,0.0078
ADP UW Equity,Citadel Advisors LLC,0.0018
ADP UW Equity,Capital Counsel LLC,0.0806
ADP UW Equity,Squarepoint Ops LLC,0.0074
ADP UW Equity,Williams Jones Wealth Management L,0.0199
ADP UW Equity,Corient Private Wealth LLC,0.0027
ADP UW Equity,Adage Capital Management LP,0.0000
ADP UW Equity,AQR Capital Management LLC,0.0016
ADP UW Equity,TwinBeech Capital LP,0.0126
ADP UW Equity,Cubist Systematic Strategies LLC,0.0048
ADP UW Equity,Woodline Partners LP,0.0039
ADP UW Equity,Schonfeld Strategic Advisors LLC,0.0026
ADP UW Equity,Tocqueville Asset Management LP,0.0044
ADP UW Equity,Northstar Asset Management Inc/MA,0.0389
ADP UW Equity,Distillate Capital Partners LLC,0.0000
ADSK UW Equity,Cantillon Capital Management LLC,0.0181
ADSK UW Equity,Two Sigma Investments LP,0.0000
ADSK UW Equity,DE Shaw & Co LP,0.0000
ADSK UW Equity,Arrowstreet Capital LP,0.0016
ADSK UW Equity,Kovitz Investment Group Partners L,0.0127
ADSK UW Equity,Select Equity Group LP,0.0022
ADSK UW Equity,AQR Capital Management LLC,0.0010
ADSK UW Equity,Squarepoint Ops LLC,0.0021
ADSK UW Equity,Adage Capital Management LP,0.0000
ADSK UW Equity,TwinBeech Capital LP,0.0057
ADSK UW Equity,NZS Capital LLC,0.0128
ADSK UW Equity,Matrix Capital Management Co LP,0.0028
ADSK UW Equity,Douglas Lane & Associates LLC,0.0041
ADSK UW Equity,Aureus Asset Management LLC,0.0164
ADSK UW Equity,Oribel Capital Management LP,0.0191
ADSK UW Equity,Corient Private Wealth LLC,0.0004
ADSK UW Equity,Millennium Management LLC/NY,0.0002
ADSK UW Equity,Capital Fund Management SA,0.0022
ADSK UW Equity,Tocqueville Asset Management LP,0.0024
ADSK UW Equity,Eisler Capital UK Ltd,0.0118
AEE UN Equity,ExodusPoint Capital Management LP,0.0044
AEE UN Equity,AQR Capital Management LLC,0.0008
AEE UN Equity,Lighthouse Investment Partners LLC,0.0189
AEE UN Equity,Adage Capital Management LP,0.0000
AEE UN Equity,Point72 Asset Management LP,0.0000
AEE UN Equity,HITE Hedge Asset Management LLC,0.0196
AEE UN Equity,Millennium Management LLC/NY,0.0002
AEE UN Equity,Two Sigma Investments LP,0.0000
AEE UN Equity,Squarepoint Ops LLC,0.0006
AEE UN Equity,Verition Fund Management LLC,0.0017
AEE UN Equity,LMR Partners LLP,0.0021
AEE UN Equity,Ecofin Advisors Ltd,0.0000
AEE UN Equity,Citadel Advisors LLC,0.0001
AEE UN Equity,Edgestream Partners LP,0.0048
AEE UN Equity,Corient Private Wealth LLC,0.0001
AEE UN Equity,Azimut Holding SpA,0.0000
AEE UN Equity,Element Capital Management LLC,0.0018
AEE UN Equity,Holocene Advisors LP,0.0001
AEE UN Equity,Balyasny Asset Management LP,0.0001
AEE UN Equity,Schonfeld Strategic Advisors LLC,0.0001
AEP UW Equity,Millennium Management LLC/NY,0.0018
AEP UW Equity,Two Sigma Investments LP,0.0000
AEP UW Equity,Zimmer Partners LP,0.0206
AEP UW Equity,Verition Fund Management LLC,0.0085
AEP UW Equity,Balyasny Asset Management LP,0.0012
AEP UW Equity,TwinBeech Capital LP,0.0077
AEP UW Equity,AQR Capital Management LLC,0.0007
AEP UW Equity,Squarepoint Ops LLC,0.0018
AEP UW Equity,Citadel Advisors LLC,0.0003
AEP UW Equity,Tudor Investment Corp,0.0033
AEP UW Equity,Corient Private Wealth LLC,0.0003
AEP UW Equity,Ecofin Advisors Ltd,0.0000
AEP UW Equity,Point72 Asset Management LP,0.0000
AEP UW Equity,Lighthouse Investment Partners LLC,0.0069
AEP UW Equity,Azimut Holding SpA,0.0000
AEP UW Equity,Element Capital Management LLC,0.0038
AEP UW Equity,Holocene Advisors LP,0.0002
AEP UW Equity,American Assets Investment Managem,0.0056
AEP UW Equity,Davidson Kempner Capital Managemen,0.0015
AEP UW Equity,DE Shaw & Co LP,0.0000
AES UN Equity,Electron Capital Partners LLC,0.0806
AES UN Equity,Douglas Lane & Associates LLC,0.0081
AES UN Equity,Point72 Asset Management LP,0.0000
AES UN Equity,MARSHALL WACE,0.0000
AES UN Equity,Corvex Management LP,0.0273
AES UN Equity,Squarepoint Ops LLC,0.0024
AES UN Equity,Clean Energy Transition LLP,0.0461
AES UN Equity,TwinBeech Capital LP,0.0047
AES UN Equity,Two Sigma Investments LP,0.0000
AES UN Equity,Tudor Investment Corp,0.0027
AES UN Equity,Adage Capital Management LP,0.0000
AES UN Equity,DE Shaw & Co LP,0.0000
AES UN Equity,Ecofin Advisors Ltd,0.0000
AES UN Equity,LMCG Investments LLC,0.0061
AES UN Equity,LMR Partners LLP,0.0020
AES UN Equity,SIR Capital Management LP,0.0089
AES UN Equity,Millennium Management LLC/NY,0.0001
AES UN Equity,Citadel Advisors LLC,0.0001
AES UN Equity,Clayton Partners LLC,0.0481
AES UN Equity,Balyasny Asset Management LP,0.0002
AFL UN Equity,Balyasny Asset Management LP,0.0015
AFL UN Equity,Corient Private Wealth LLC,0.0010
AFL UN Equity,Millennium Management LLC/NY,0.0002
AFL UN Equity,DE Shaw & Co LP,0.0000
AFL UN Equity,AQR Capital Management LLC,0.0004
AFL UN Equity,Adage Capital Management LP,0.0000
AFL UN Equity,MARSHALL WACE,0.0000
AFL UN Equity,Tocqueville Asset Management LP,0.0032
AFL UN Equity,Graham Capital Management LP,0.0045
AFL UN Equity,Squarepoint Ops LLC,0.0005
AFL UN Equity,Southeast Asset Advisors Inc,0.0135
AFL UN Equity,Bridgewater Associates LP,0.0006
AFL UN Equity,Hudson Bay Capital Management LP,0.0008
AFL UN Equity,Contravisory Investment Management,0.0204
AFL UN Equity,Gotham Asset Management LLC,0.0014
AFL UN Equity,Occudo Quantitative Strategies LP,0.0044
AFL UN Equity,Sustainable Insight Capital Manage,0.0341
AFL UN Equity,Azimuth Capital Investment Managem,0.0017
AFL UN Equity,Twin Tree Management LP,0.0007
AFL UN Equity,Ergoteles LLC,0.0014
AIG UN Equity,AQR Capital Management LLC,0.0062
AIG UN Equity,Third Point LLC,0.0247
AIG UN Equity,Adage Capital Management LP,0.0000
AIG UN Equity,Alyeska Investment Group LP,0.0077
AIG UN Equity,Millennium Management LLC/NY,0.0009
AIG UN Equity,Point72 Asset Management LP,0.0000
AIG UN Equity,Balyasny Asset Management LP,0.0020
AIG UN Equity,Steadfast Capital Management LP,0.0168
AIG UN Equity,DE Shaw & Co LP,0.0000
AIG UN Equity,TwinBeech Capital LP,0.0110
AIG UN Equity,Schonfeld Strategic Advisors LLC,0.0042
AIG UN Equity,Citadel Advisors LLC,0.0003
AIG UN Equity,Capital Fund Management SA,0.0042
AIG UN Equity,Holocene Advisors LP,0.0012
AIG UN Equity,Corient Private Wealth LLC,0.0006
AIG UN Equity,Philadelphia Financial Management,0.0424
AIG UN Equity,Hudson Bay Capital Management LP,0.0015
AIG UN Equity,Cinctive Capital Management LP,0.0051
AIG UN Equity,Bloom Tree Partners LLC,0.0476
AIG UN Equity,Troluce Capital Advisors LLC,0.1454
AIZ UN Equity,Citadel Advisors LLC,0.0005
AIZ UN Equity,Millennium Management LLC/NY,0.0003
AIZ UN Equity,TOBAM SAS,0.0159
AIZ UN Equity,AQR Capital Management LLC,0.0004
AIZ UN Equity,Schonfeld Strategic Advisors LLC,0.0014
AIZ UN Equity,Cubist Systematic Strategies LLC,0.0015
AIZ UN Equity,Renaissance Technologies LLC,0.0001
AIZ UN Equity,MARSHALL WACE,0.0000
AIZ UN Equity,Advantage Alpha Capital Partners L,0.0142
AIZ UN Equity,Bridgewater Associates LP,0.0004
AIZ UN Equity,Gotham Asset Management LLC,0.0013
AIZ UN Equity,Capital Fund Management SA,0.0009
AIZ UN Equity,Shay Capital LLC,0.0189
AIZ UN Equity,Holocene Advisors LP,0.0002
AIZ UN Equity,Corient Private Wealth LLC,0.0001
AIZ UN Equity,DE Shaw & Co LP,0.0000
AIZ UN Equity,Long Focus Capital Management LLC,0.0038
AIZ UN Equity,Tudor Investment Corp,0.0003
AIZ UN Equity,Point72 Asset Management LP,0.0000
AIZ UN Equity,ExodusPoint Capital Management LP,0.0002
AJG UN Equity,Viking Global Investors LP,0.0074
AJG UN Equity,Adage Capital Management LP,0.0000
AJG UN Equity,Echo Street Capital Management LLC,0.0129
AJG UN Equity,Bain Capital Public Equity Managem,0.0510
AJG UN Equity,Point72 Asset Management LP,0.0000
AJG UN Equity,AQR Capital Management LLC,0.0005
AJG UN Equity,Prospector Partners LLC,0.0305
AJG UN Equity,11 Capital Partners LP,0.0945
AJG UN Equity,Millennium Management LLC/NY,0.0001
AJG UN Equity,Brant Point Investment Management,0.0288
AJG UN Equity,Squarepoint Ops LLC,0.0006
AJG UN Equity,Corient Private Wealth LLC,0.0003
AJG UN Equity,MARSHALL WACE,0.0000
AJG UN Equity,Nicola Wealth Management Ltd,0.0109
AJG UN Equity,Miura Global Management LLC/United,0.0635
AJG UN Equity,Alley Investment Management Co LLC,0.0138
AJG UN Equity,Citadel Advisors LLC,0.0001
AJG UN Equity,Gotham Asset Management LLC,0.0013
AJG UN Equity,Kerrisdale Advisers LLC,0.0148
AJG UN Equity,New Vernon Investment Management L,0.1084
AKAM UW Equity,Arrowstreet Capital LP,0.0021
AKAM UW Equity,MARSHALL WACE,0.0000
AKAM UW Equity,Citadel Advisors LLC,0.0014
AKAM UW Equity,AQR Capital Management LLC,0.0016
AKAM UW Equity,DE Shaw & Co LP,0.0000
AKAM UW Equity,Nishkama Capital LLC,0.0392
AKAM UW Equity,TwinBeech Capital LP,0.0038
AKAM UW Equity,Portman Square Capital LLP,0.0338
AKAM UW Equity,Invenomic Capital Management LP,0.0101
AKAM UW Equity,Squarepoint Ops LLC,0.0008
AKAM UW Equity,Millennium Management LLC/NY,0.0001
AKAM UW Equity,Cubist Systematic Strategies LLC,0.0014
AKAM UW Equity,CaaS Capital Management LP,0.0552
AKAM UW Equity,Adage Capital Management LP,0.0000
AKAM UW Equity,LMCG Investments LLC,0.0061
AKAM UW Equity,Two Sigma Investments LP,0.0000
AKAM UW Equity,Twin Tree Management LP,0.0015
AKAM UW Equity,ExodusPoint Capital Management LP,0.0008
AKAM UW Equity,Bridgewater Associates LP,0.0004
AKAM UW Equity,Point72 Asset Management LP,0.0000
ALB UN Equity,Coatue Management LLC,0.0075
ALB UN Equity,Renaissance Technologies LLC,0.0021
ALB UN Equity,Frontier Capital Management Co LLC,0.0078
ALB UN Equity,Alyeska Investment Group LP,0.0036
ALB UN Equity,Citadel Advisors LLC,0.0003
ALB UN Equity,Holocene Advisors LP,0.0012
ALB UN Equity,Adage Capital Management LP,0.0000
ALB UN Equity,Bridgewater Associates LP,0.0011
ALB UN Equity,Peak6 Group LLC,0.0133
ALB UN Equity,AQR Capital Management LLC,0.0003
ALB UN Equity,ExodusPoint Capital Management LP,0.0016
ALB UN Equity,DE Shaw & Co LP,0.0000
ALB UN Equity,Tocqueville Asset Management LP,0.0018
ALB UN Equity,Readystate Asset Management LP,0.0106
ALB UN Equity,Edge Capital Group LLC,0.0048
ALB UN Equity,Kovitz Investment Group Partners L,0.0011
ALB UN Equity,Merewether Investment Management L,0.0050
ALB UN Equity,Greenline Partners LLC,0.0131
ALB UN Equity,MARSHALL WACE,0.0000
ALB UN Equity,Atika Capital Management LLC,0.0079
ALGN UW Equity,Citadel Advisors LLC,0.0020
ALGN UW Equity,Millennium Management LLC/NY,0.0011
ALGN UW Equity,Arrowstreet Capital LP,0.0010
ALGN UW Equity,Braidwell LP,0.0306
ALGN UW Equity,Frontier Capital Management Co LLC,0.0057
ALGN UW Equity,Bridgewater Associates LP,0.0035
ALGN UW Equity,ArrowMark Colorado Holdings LLC,0.0050
ALGN UW Equity,Capital Fund Management SA,0.0056
ALGN UW Equity,AQR Capital Management LLC,0.0007
ALGN UW Equity,Palo Alto Investors LP,0.0213
ALGN UW Equity,Iron Triangle Partners LP,0.0315
ALGN UW Equity,Aureus Asset Management LLC,0.0165
ALGN UW Equity,Twin Tree Management LP,0.0044
ALGN UW Equity,Adage Capital Management LP,0.0000
ALGN UW Equity,Corient Private Wealth LLC,0.0003
ALGN UW Equity,IEQ Capital LLC,0.0028
ALGN UW Equity,Squarepoint Ops LLC,0.0004
ALGN UW Equity,Graham Capital Management LP,0.0025
ALGN UW Equity,in-Depth Partners LLC,0.0549
ALGN UW Equity,Two Sigma Investments LP,0.0000
ALK UN Equity,Point72 Asset Management LP,0.0000
ALK UN Equity,PAR Capital Management Inc,0.0222
ALK UN Equity,Interval Partners LP,0.0100
ALK UN Equity,Renaissance Technologies LLC,0.0003
ALK UN Equity,Frontier Capital Management Co LLC,0.0012
ALK UN Equity,Adage Capital Management LP,0.0000
ALK UN Equity,Millennium Management LLC/NY,0.0001
ALK UN Equity,Squarepoint Ops LLC,0.0003
ALK UN Equity,Schonfeld Strategic Advisors LLC,0.0004
ALK UN Equity,Impala Asset Management LLC,0.0365
ALK UN Equity,Graham Capital Management LP,0.0015
ALK UN Equity,AQR Capital Management LLC,0.0001
ALK UN Equity,Capital Fund Management SA,0.0004
ALK UN Equity,Summit Global Investments LLC,0.0012
ALK UN Equity,Gotham Asset Management LLC,0.0005
ALK UN Equity,Parallax Volatility Advisers LP,0.0007
ALK UN Equity,Oak Thistle LLC,0.0070
ALK UN Equity,Privium Fund Management UK Ltd,0.0134
ALK UN Equity,Campbell & Co Investment Adviser L,0.0030
ALK UN Equity,Prelude Capital Management LLC,0.0013
ALL UN Equity,Palestra Capital Management LLC,0.0265
ALL UN Equity,Millennium Management LLC/NY,0.0005
ALL UN Equity,TwinBeech Capital LP,0.0069
ALL UN Equity,Renaissance Technologies LLC,0.0005
ALL UN Equity,Squarepoint Ops LLC,0.0017
ALL UN Equity,Balyasny Asset Management LP,0.0009
ALL UN Equity,AQR Capital Management LLC,0.0006
ALL UN Equity,Corient Private Wealth LLC,0.0007
ALL UN Equity,Adage Capital Management LP,0.0000
ALL UN Equity,LMR Partners LLP,0.0066
ALL UN Equity,Verition Fund Management LLC,0.0038
ALL UN Equity,Capital Fund Management SA,0.0028
ALL UN Equity,Philadelphia Financial Management,0.0485
ALL UN Equity,Moore Capital Management LP,0.0034
ALL UN Equity,Basswood Capital Management LLC,0.0083
ALL UN Equity,Interval Partners LP,0.0048
ALL UN Equity,Jacobs Asset Management LLC,0.0712
ALL UN Equity,Two Sigma Investments LP,0.0000
ALL UN Equity,Holocene Advisors LP,0.0004
ALL UN Equity,Schonfeld Strategic Advisors LLC,0.0007
ALLE UN Equity,Two Sigma Investments LP,0.0000
ALLE UN Equity,Citadel Advisors LLC,0.0008
ALLE UN Equity,Millennium Management LLC/NY,0.0007
ALLE UN Equity,Renaissance Technologies LLC,0.0009
ALLE UN Equity,Williams Jones Wealth Management L,0.0031
ALLE UN Equity,DE Shaw & Co LP,0.0000
ALLE UN Equity,Cubist Systematic Strategies LLC,0.0014
ALLE UN Equity,Distillate Capital Partners LLC,0.0000
ALLE UN Equity,Balyasny Asset Management LP,0.0002
ALLE UN Equity,AQR Capital Management LLC,0.0001
ALLE UN Equity,Capital Fund Management SA,0.0006
ALLE UN Equity,Appian Way Asset Management LP,0.0144
ALLE UN Equity,Echo Street Capital Management LLC,0.0003
ALLE UN Equity,Stansberry Asset Management LLC,0.0049
ALLE UN Equity,Carlson Capital LP,0.0023
ALLE UN Equity,NewEdge Wealth LLC,0.0009
ALLE UN Equity,Tudor Investment Corp,0.0004
ALLE UN Equity,Interval Partners LP,0.0012
ALLE UN Equity,Woodline Partners LP,0.0003
ALLE UN Equity,Occudo Quantitative Strategies LP,0.0024
AMAT UW Equity,Matrix Capital Management Co LP,0.1181
AMAT UW Equity,Cantillon Capital Management LLC,0.0360
